FID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10
0,53,033,022006,53033022006,220.06,Census Tract 220.06,G5020,S,1408907,0,+47.7043393,-122.1992667
1,53,033,032320,53033032320,323.20,Census Tract 323.20,G5020,S,9554873,38494,+47.7564769,-122.1244452
2,53,033,031703,53033031703,317.03,Census Tract 317.03,G5020,S,7139218,643846,+47.3716888,-122.1484314
3,53,033,031206,53033031206,312.06,Census Tract 312.06,G5020,S,3668962,60430,+47.3135621,-122.1835380
4,53,033,032102,53033032102,321.02,Census Tract 321.02,G5020,S,79040166,84391,+47.4851508,-121.9657840
5,53,033,032210,53033032210,322.10,Census Tract 322.10,G5020,S,41801336,17075,+47.5512023,-121.9640526
6,53,033,032211,53033032211,322.11,Census Tract 322.11,G5020,S,2975633,0,+47.5798198,-122.0193627
7,53,033,032104,53033032104,321.04,Census Tract 321.04,G5020,S,22481612,0,+47.5051267,-122.0531593
8,53,033,032313,53033032313,323.13,Census Tract 323.13,G5020,S,13092990,436039,+47.6705089,-122.0890118
9,53,033,032203,53033032203,322.03,Census Tract 322.03,G5020,S,10073205,3779419,+47.5954699,-122.0694173
10,53,033,032703,53033032703,327.03,Census Tract 327.03,G5020,S,10319396,175463,+47.5143769,-121.8178721
11,53,033,032704,53033032704,327.04,Census Tract 327.04,G5020,S,17160818,447183,+47.4939904,-121.7716730
12,53,033,027300,53033027300,273,Census Tract 273,G5020,S,3552158,5405,+47.4780597,-122.2993280
13,53,033,027200,53033027200,272,Census Tract 272,G5020,S,3321974,85339,+47.4867948,-122.2813197
14,53,033,027100,53033027100,271,Census Tract 271,G5020,S,1567464,0,+47.4920386,-122.2998447
15,53,033,027000,53033027000,270,Census Tract 270,G5020,S,1978526,12524,+47.4976819,-122.3219067
16,53,033,026802,53033026802,268.02,Census Tract 268.02,G5020,S,2035727,18135,+47.4983057,-122.3429643
17,53,033,026801,53033026801,268.01,Census Tract 268.01,G5020,S,1538512,5897,+47.5076338,-122.3433587
18,53,033,026700,53033026700,267,Census Tract 267,G5020,S,3084839,419292,+47.4962788,-122.3638054
19,53,033,026600,53033026600,266,Census Tract 266,G5020,S,1160397,0,+47.5128460,-122.3632681
20,53,033,000800,53033000800,8,Census Tract 8,G5020,S,1141587,0,+47.7112492,-122.2860821
21,53,033,000700,53033000700,7,Census Tract 7,G5020,S,1294675,0,+47.7156893,-122.3018632
22,53,033,000600,53033000600,6,Census Tract 6,G5020,S,3783740,54223,+47.7180013,-122.3322129
23,53,033,000500,53033000500,5,Census Tract 5,G5020,S,2882910,932456,+47.7224094,-122.3710555
24,53,033,000402,53033000402,4.02,Census Tract 4.02,G5020,S,1798936,0,+47.7168585,-122.3523664
25,53,033,000401,53033000401,4.01,Census Tract 4.01,G5020,S,1281899,81874,+47.7288710,-122.3509939
26,53,033,000300,53033000300,3,Census Tract 3,G5020,S,1210516,0,+47.7305246,-122.3329227
27,53,033,000200,53033000200,2,Census Tract 2,G5020,S,3286319,0,+47.7266401,-122.3099961
28,53,033,000100,53033000100,1,Census Tract 1,G5020,S,1910585,1486352,+47.7238068,-122.2819279
29,53,033,990100,53033990100,9901,Census Tract 9901,G5020,S,0,239607794,+47.5106478,-122.4154213
30,53,033,032500,53033032500,325,Census Tract 325,G5020,S,213917141,3892704,+47.7019699,-121.8306143
31,53,033,031907,53033031907,319.07,Census Tract 319.07,G5020,S,5537497,0,+47.4533052,-122.1305064
32,53,033,031800,53033031800,318,Census Tract 318,G5020,S,24842882,3331034,+47.4085329,-122.1178196
33,53,033,032002,53033032002,320.02,Census Tract 320.02,G5020,S,27571053,210070,+47.4347894,-122.0315839
34,53,033,032003,53033032003,320.03,Census Tract 320.03,G5020,S,122163698,304929,+47.4405378,-121.9250546
35,53,033,031704,53033031704,317.04,Census Tract 317.04,G5020,S,5745119,12142,+47.3485371,-122.1448222
36,53,033,032005,53033032005,320.05,Census Tract 320.05,G5020,S,6298146,123257,+47.3704870,-122.0854653
37,53,033,032006,53033032006,320.06,Census Tract 320.06,G5020,S,7610917,126568,+47.3499202,-122.0803474
38,53,033,032207,53033032207,322.07,Census Tract 322.07,G5020,S,4572913,1055367,+47.5819653,-122.0606739
39,53,033,021803,53033021803,218.03,Census Tract 218.03,G5020,S,3280334,0,+47.7644157,-122.2144243
40,53,033,032602,53033032602,326.02,Census Tract 326.02,G5020,S,30181212,645284,+47.5354747,-121.8783150
41,53,033,032702,53033032702,327.02,Census Tract 327.02,G5020,S,510945718,12517232,+47.4631730,-121.4975361
42,53,033,032800,53033032800,328,Census Tract 328,G5020,S,1390296741,27317733,+47.6526481,-121.4312963
43,53,033,026500,53033026500,265,Census Tract 265,G5020,S,1993802,1625,+47.5145478,-122.3380052
44,53,033,026400,53033026400,264,Census Tract 264,G5020,S,4780011,299442,+47.5091310,-122.3111776
45,53,033,026300,53033026300,263,Census Tract 263,G5020,S,4827827,388852,+47.5089631,-122.2889871
46,53,033,026200,53033026200,262,Census Tract 262,G5020,S,15241096,526900,+47.4591441,-122.2435898
47,53,033,026100,53033026100,261,Census Tract 261,G5020,S,4302988,9859,+47.4910723,-122.2500978
48,53,033,026001,53033026001,260.01,Census Tract 260.01,G5020,S,2747927,0,+47.4990270,-122.2362315
49,53,033,021500,53033021500,215,Census Tract 215,G5020,S,3485702,412518,+47.7643848,-122.2737863
50,53,033,021400,53033021400,214,Census Tract 214,G5020,S,3154037,242662,+47.7507662,-122.2924491
51,53,033,021300,53033021300,213,Census Tract 213,G5020,S,1811833,1189300,+47.7402939,-122.2869560
52,53,033,001702,53033001702,17.02,Census Tract 17.02,G5020,S,1280222,0,+47.6965212,-122.3639488
53,53,033,004302,53033004302,43.02,Census Tract 43.02,G5020,S,330714,0,+47.6647406,-122.3035950
54,53,033,004301,53033004301,43.01,Census Tract 43.01,G5020,S,979359,0,+47.6694017,-122.3002220
55,53,033,007402,53033007402,74.02,Census Tract 74.02,G5020,S,249282,0,+47.6187608,-122.3244188
56,53,033,010002,53033010002,100.02,Census Tract 100.02,G5020,S,948258,0,+47.5765790,-122.3095727
57,53,033,010001,53033010001,100.01,Census Tract 100.01,G5020,S,2253835,60359,+47.5673069,-122.3043618
58,53,033,011002,53033011002,110.02,Census Tract 110.02,G5020,S,1676105,0,+47.5404140,-122.2989097
59,53,033,010402,53033010402,104.02,Census Tract 104.02,G5020,S,1798894,0,+47.5537876,-122.3102256
60,53,033,010702,53033010702,107.02,Census Tract 107.02,G5020,S,784716,0,+47.5468041,-122.3730302
61,53,033,011402,53033011402,114.02,Census Tract 114.02,G5020,S,1186185,0,+47.5206654,-122.3646254
62,53,033,022605,53033022605,226.05,Census Tract 226.05,G5020,S,4727320,0,+47.6914671,-122.1557444
63,53,033,022902,53033022902,229.02,Census Tract 229.02,G5020,S,3427199,1688812,+47.6403935,-122.1022780
64,53,033,024602,53033024602,246.02,Census Tract 246.02,G5020,S,2868432,2569219,+47.5326968,-122.2319773
65,53,033,025803,53033025803,258.03,Census Tract 258.03,G5020,S,1343482,0,+47.4503896,-122.1784570
